학년/가진급학년,교과과정,교과영역구분,학수강좌번호,교과목명,교원명,수업캠퍼스,요일/시간,강의실,학점,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,이수구분,개설대학,개설학과/전공,교과목영문명
"1,2학년",학문기초,제4영역:자연과학,PRI4012-08,미적분학및연습2,박장희,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","102-456(학술/문화관 K456 456 강의실),102-456(학술/문화관 K456 456 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-09,미적분학및연습2,박정준,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","201-317(사회과학/경영관 M305 강의실),201-317(사회과학/경영관 M305 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-10,미적분학및연습2,박상웅,서울,수10.0-12.5/18:00-20:30,307-336(명진관 A336 강의실),3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-11,미적분학및연습2,임영빈,서울,"화6.0-7.0/14:00-15:30,목7.0-8.0/15:00-16:30","407-B105(정보문화관P P202 강의실),407-B108(정보문화관P P203 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-12,미적분학및연습2,권기운,서울,"화6.0-7.0/14:00-15:30,목6.0-7.0/14:00-15:30","102-352(학술/문화관 K352 352 강의실),102-352(학술/문화관 K352 352 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-13,미적분학및연습2,박호,서울,"화6.0-7.0/14:00-15:30,목6.0-7.0/14:00-15:30","201-226(사회과학/경영관 M216 강의실),201-226(사회과학/경영관 M216 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-14,미적분학및연습2,박정준,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","102-356(학술/문화관 K356 356 강의실),102-356(학술/문화관 K356 356 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-15,미적분학및연습2,임영빈,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","407-B105(정보문화관P P202 강의실),407-B105(정보문화관P P202 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-16,미적분학및연습2,조영덕,서울,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30","407-106(정보문화관P P303 정보 PBL_스마트),407-106(정보문화관P P303 정보 PBL_스마트)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-17,미적분학및연습2,박호,서울,화10.0-12.5/18:00-20:30,307-124(명진관  첨단강의실_스마트),3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-18,미적분학및연습2,오승익,서울,수10.0-12.5/18:00-20:30,102-342(학술/문화관 K342 342 강의실),3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-19,미적분학및연습2,조영덕,서울,월10.0-12.5/18:00-20:30,407-B105(정보문화관P P202 강의실),3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-20,미적분학및연습2,박호,일산,목8.0-10.5/16:00-18:50,1102-209(종합강의동 209 강의실),3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4012-21,미적분학및연습2,박정준,서울,"화6.0-7.0/14:00-15:30,목6.0-7.0/14:00-15:30","207-623(혜화관  623 강의실),207-623(혜화관  623 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,이과대학 수학과,Calculus2
"1,2학년",학문기초,제4영역:자연과학,PRI4013-01,일반물리학및실험2,정권범,서울,"월1.0-2.5/09:00-11:00,월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","308-325(과학관  일반물리학실험실A),308-305(과학관 D305 강의실),308-305(과학관 D305 강의실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-02,일반물리학및실험2,양우철,서울,"월4.0-5.0/12:00-13:30,수1.0-2.5/09:00-11:00,수3.0-4.0/11:00-12:30","308-303(과학관 D303 강의실),308-303(과학관 D303 강의실),308-325(과학관  일반물리학실험실A)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-03,일반물리학및실험2,김선배,서울,"월10.0-12.5/18:00-20:30,월13.0-14.5/20:40-22:20","308-303(과학관 D303 강의실),308-325(과학관  일반물리학실험실A)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-04,일반물리학및실험2,곽동욱,서울,"화10.0-12.5/18:00-20:30,화13.0-14.5/20:40-22:20","308-303(과학관 D303 강의실),308-325(과학관  일반물리학실험실A)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-05,일반물리학및실험2,손정인,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00,금1.0-2.5/09:00-11:00","308-303(과학관 D303 강의실),308-303(과학관 D303 강의실),308-325(과학관  일반물리학실험실A)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-06,일반물리학및실험2,이원철,서울,"화4.0-5.0/12:00-13:30,목1.0-2.5/09:00-11:00,목4.0-5.0/12:00-13:30","102-357(학술/문화관 K357 357 강의실),308-325(과학관  일반물리학실험실A),102-357(학술/문화관 K357 357 강의실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-07,일반물리학및실험2,박경원,서울,"화4.0-5.0/12:00-13:30,수6.0-7.5/14:00-16:00,목4.0-5.0/12:00-13:30","207-623(혜화관  623 강의실),308-325(과학관  일반물리학실험실A),207-623(혜화관  623 강의실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-08,일반물리학및실험2,김순구,서울,"화1.0-2.5/09:00-11:00,화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","308-325(과학관  일반물리학실험실A),102-462(학술/문화관 K462 462 강의실),102-462(학술/문화관 K462 462 강의실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-09,일반물리학및실험2,이동화,서울,"화4.0-5.5/12:00-14:00,화6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30","308-325(과학관  일반물리학실험실A),102-454(학술/문화관 K454 454 강의실),102-454(학술/문화관 K454 454 강의실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-10,일반물리학및실험2,오형택,서울,"수4.5-5.5/12:30-14:00,수8.0-9.5/16:00-18:00,금4.0-5.0/12:00-13:30","408-321(정보문화관Q Q301 강의실),308-325(과학관  일반물리학실험실A),408-321(정보문화관Q Q301 강의실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-11,일반물리학및실험2,류영선,서울,"수10.0-12.5/18:00-20:30,수13.0-14.5/20:40-22:20","308-303(과학관 D303 강의실),308-325(과학관  일반물리학실험실A)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-12,일반물리학및실험2,권상우,서울,"목10.0-12.5/18:00-20:30,목13.0-14.5/20:40-22:20","308-303(과학관 D303 강의실),308-325(과학관  일반물리학실험실A)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4013-13,일반물리학및실험2,류승윤,서울,"목4.0-5.0/12:00-13:30,목6.5-8.0/14:30-16:30,금4.0-5.0/12:00-13:30","401-5147(신공학관(기숙사) 5147 강의실),308-325(과학관  일반물리학실험실A),401-5147(신공학관(기숙사) 5147 강의실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 물리반도체과학부,General Physics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4014-01,일반화학및실험2,김갑수,서울,"월2.5-3.5/10:30-12:00,월4.0-5.5/12:00-14:00,화2.5-3.5/10:30-12:00","407-B101(정보문화관P P201 강의실),308-407(과학관  일반화학실험실A),407-B101(정보문화관P P201 강의실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 화학과,General Chemistry and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4014-02,일반화학및실험2,임재희,서울,"월2.0-3.5/10:00-12:00,월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","308-407(과학관  일반화학실험실A),501-231(학림관 J201 강의실),501-231(학림관 J201 강의실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 화학과,General Chemistry and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4014-03,일반화학및실험2,유미경,서울,"화4.0-5.0/12:00-13:30,화5.5-7.0/13:30-15:30,목4.0-5.0/12:00-13:30","407-203(정보문화관P P401 강의실_스마트),308-407(과학관  일반화학실험실A),407-203(정보문화관P P401 강의실_스마트)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 화학과,General Chemistry and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4014-04,일반화학및실험2,김갑수,서울,"월8.0-9.5/16:00-18:00,월10.0-12.5/18:00-20:30","308-407(과학관  일반화학실험실A),407-B122(정보문화관P P205 강의실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 화학과,General Chemistry and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4014-05,일반화학및실험2,김갑수,서울,"화5.5-6.5/13:30-15:00,목5.5-6.5/13:30-15:00,목7.0-8.5/15:00-17:00","407-203(정보문화관P P401 강의실_스마트),407-203(정보문화관P P401 강의실_스마트),308-407(과학관  일반화학실험실A)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 화학과,General Chemistry and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4014-06,일반화학및실험2,이길선,일산,"수6.0-8.5/14:00-17:00,금6.0-7.5/14:00-16:00","1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),1104-266(상영바이오관 266 학부 공용실습실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 화학과,General Chemistry and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4014-07,일반화학및실험2,윤성욱,서울,"수4.5-5.5/12:30-14:00,금2.0-3.5/10:00-12:00,금4.0-5.0/12:00-13:30","207-324(혜화관 324 324 강의실),308-407(과학관  일반화학실험실A),207-324(혜화관 324 324 강의실)",4,3.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,이과대학 화학과,General Chemistry and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4015-01,일반생물학및실험2,이보영,서울,"화8.0-9.5/16:00-18:00,금6.0-7.5/14:00-16:00","401-2158(신공학관(기숙사) 2158 일반생물학실험실),201-111(사회과학/경영관 M111 강의실)",3,2.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,바이오시스템대학,"바이오시스템대학 생명과학과 ",General Biology and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4015-02,일반생물학및실험2,정상민,서울,"월10.0-11.5/18:00-19:40,월12.0-13.5/19:40-21:30","407-B127(정보문화관P P207 강의실),401-2158(신공학관(기숙사) 2158 일반생물학실험실)",3,2.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,바이오시스템대학,"바이오시스템대학 생명과학과 ",General Biology and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4015-04,일반생물학및실험2,조선희,서울,"화1.0-2.5/09:00-11:00,목6.5-8.0/14:30-16:30","202-364(사회과학/경영관 L311 강의실),401-2158(신공학관(기숙사) 2158 일반생물학실험실)",3,2.0,2.0,0.0,더블클릭,더블클릭,이론+실습,일반강의,학기,바이오시스템대학,"바이오시스템대학 생명과학과 ",General Biology and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4016-01,일반통계학및실습2,정선,서울,"화6.0-7.5/14:00-16:00,수6.0-7.5/14:00-16:00","407-B108(정보문화관P P203 강의실),102-211(학술/문화관 K211 (K) 공용컴퓨터실)",3,2.0,2.0,,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,"이과대학 통계학과 ",General Statistics and Experiments II
"1,2학년",학문기초,제4영역:자연과학,PRI4021-01,대학생물학및실험2,정상민,일산,"화1.0-2.0/09:00-10:30,수6.0-7.5/14:00-16:00,목1.0-2.0/09:00-10:30","1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),1104-266(상영바이오관 266 학부 공용실습실),1104-845(상영바이오관 845 세미나실1(고양캠퍼스))",4,3.0,2.0,,더블클릭,더블클릭,이론+실습,일반강의,학기,바이오시스템대학,"바이오시스템대학 생명과학과 ",University Biology and Lab 2
"1,2학년",학문기초,제4영역:자연과학,PRI4021-02,대학생물학및실험2,정상민,일산,"화2.5-3.5/10:30-12:00,수8.0-9.5/16:00-18:00,목2.5-3.5/10:30-12:00","1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),1104-266(상영바이오관 266 학부 공용실습실),1104-845(상영바이오관 845 세미나실1(고양캠퍼스))",4,3.0,2.0,,더블클릭,더블클릭,이론+실습,일반강의,학기,바이오시스템대학,"바이오시스템대학 생명과학과 ",University Biology and Lab 2
"1,2학년",학문기초,제4영역:자연과학,PRI4021-03,대학생물학및실험2,변지희,일산,"화2.5-3.5/10:30-12:00,화8.5-10.0/16:30-18:25,목2.5-3.5/10:30-12:00","1102-132(종합강의동 132 세미나실1),1104-266(상영바이오관 266 학부 공용실습실),1102-132(종합강의동 132 세미나실1)",4,3.0,2.0,,더블클릭,더블클릭,이론+실습,일반강의,학기,바이오시스템대학,"바이오시스템대학 생명과학과 ",University Biology and Lab 2
"1,2학년",학문기초,제4영역:자연과학,PRI4021-04,대학생물학및실험2,방석영,일산,"월2.5-3.5/10:30-12:00,화4.0-5.5/12:00-14:00,수2.5-3.5/10:30-12:00","1104-848(상영바이오관 848 세미나실2(고양캠퍼스)),1104-266(상영바이오관 266 학부 공용실습실),1104-848(상영바이오관 848 세미나실2(고양캠퍼스))",4,3.0,2.0,,더블클릭,더블클릭,이론+실습,일반강의,학기,바이오시스템대학,"바이오시스템대학 생명과학과 ",University Biology and Lab 2
"1,2학년",학문기초,제4영역:자연과학,PRI4021-05,대학생물학및실험2,변지희,일산,"월5.0-6.5/13:00-15:00,화1.0-2.0/09:00-10:30,목1.0-2.0/09:00-10:30","1104-266(상영바이오관 266 학부 공용실습실),1102-132(종합강의동 132 세미나실1),1102-132(종합강의동 132 세미나실1)",4,3.0,2.0,,더블클릭,더블클릭,이론+실습,일반강의,학기,바이오시스템대학,"바이오시스템대학 생명과학과 ",University Biology and Lab 2
"1,2학년",학문기초,제4영역:자연과학,PRI4022-01,대학통계학및실습2,안홍엽,서울,"월2.5-3.5/10:30-12:00,수2.5-3.5/10:30-12:00,금4.0-5.5/12:00-14:00","307-124(명진관  첨단강의실_스마트),307-124(명진관  첨단강의실_스마트),102-211(학술/문화관 K211 (K) 공용컴퓨터실)",4,3.0,2.0,,더블클릭,더블클릭,이론+실습,일반강의,학기,이과대학,"이과대학 통계학과 ",University Statistics and Experiments 2
"1,2학년",학문기초,제4영역:자연과학,PRI4023-01,확률및통계학,김희경,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","207-324(혜화관 324 324 강의실),207-324(혜화관 324 324 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,"이과대학 통계학과 ",Probability and Statistics
"1,2학년",학문기초,제4영역:자연과학,PRI4023-02,확률및통계학,정선,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","207-315(혜화관 315 315 강의실),207-315(혜화관 315 315 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,"이과대학 통계학과 ",Probability and Statistics
"1,2학년",학문기초,제4영역:자연과학,PRI4023-03,확률및통계학,곽화륜,서울,월10.0-12.5/18:00-20:30,307-115(명진관 A115 강의실_스마트),3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,"이과대학 통계학과 ",Probability and Statistics
"1,2학년",학문기초,제4영역:자연과학,PRI4023-04,확률및통계학,곽화륜,서울,수10.0-12.5/18:00-20:30,307-115(명진관 A115 강의실_스마트),3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,"이과대학 통계학과 ",Probability and Statistics
"1,2학년",학문기초,제4영역:자연과학,PRI4023-05,확률및통계학,최은희,일산,화8.0-10.5/16:00-18:50,1102-219(종합강의동 219 강의실),3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,"이과대학 통계학과 ",Probability and Statistics
"1,2학년",학문기초,제4영역:자연과학,PRI4023-06,확률및통계학,최은희,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","102-342(학술/문화관 K342 342 강의실),102-342(학술/문화관 K342 342 강의실)",3,3.0,0.0,0.0,더블클릭,더블클릭,이론,일반강의,학기,이과대학,"이과대학 통계학과 ",Probability and Statistics
