,url,title,date,administrator
70,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752871,제1회 총동창회장배 동국인 한마음 페스티벌 결강사유서(유고결석) 관련 안내,2023.11.01.,신병수
71,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752806,2023학년도 2학기 복수·연계·융합전공 포기 신청 안내(2차),2023.10.30.,신상훈
72,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752794,2023 - 겨울학기 현장실습 참가학생 모집,2023.10.30.,이소윤
73,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752787,제10회 EAS 영어 글쓰기 경진대회 신청기간 연장 안내,2023.10.27.,박은미
74,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752776,2023학년도 겨울 계절학기 한성대학교 수학 안내,2023.10.26.,백민기
75,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752771,2023학년도 겨울 계절학기 경희대학교 수학 안내,2023.10.26.,백민기
76,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752765,2023학년도 겨울 계절학기 아주대학교 수학 안내,2023.10.26.,백민기
77,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752764,2023학년도 겨울 계절학기 상명대학교 수학 안내,2023.10.26.,백민기
78,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752762,2023학년도 겨울 계절학기 서울시립대학교 수학 안내,2023.10.26.,백민기
79,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752761,2023학년도 겨울 계절학기 대구대학교 수학 안내,2023.10.26.,백민기
80,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753259,공지2024학년도 1학기 전과(전공변경) 추가 납부 안내,2023.12.06.,신상훈
81,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753252,공지2023학년도 겨울계절학기 수강료 납부 기간 연장 안내,2023.12.05.,김민지
82,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753250,공지2024-1학기 학사·석박사통합 연계과정 신청,2023.12.05.,장연수
83,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753237,공지2024학년도 1학기 학석사연계과정 모집 안내,2023.12.04.,장연수
84,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753234,공지2024학년도 캠퍼스 이동(전과 제도) 전형일정 안내,2023.12.04.,신상훈
85,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753229,공지2024학년도 1학기 전과(전공변경) 전형료 납부 안내,2023.12.04.,신상훈
86,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752760,2023학년도 겨울 계절학기 한양대학교 수학 안내,2023.10.26.,백민기
87,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752758,2023학년도 겨울 계절학기 부산대학교 수학 안내,2023.10.25.,백민기
88,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752757,2023학년도 겨울 계절학기 전남대학교 수학 안내,2023.10.25.,백민기
89,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752756,2023학년도 겨울 계절학기 경상국립대학교 수학 안내,2023.10.25.,백민기
90,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752754,2023학년도 겨울 계절학기 전북대학교 수학 안내,2023.10.25.,백민기
91,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752737,2023학년도 2학기 학습자 요구도 조사 시행 안내,2023.10.25.,신상훈
92,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752701,2023학년도 2학기 성인지 교육2(오프라인교육) 안내,2023.10.24.,김주성
93,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752684,2023학년도 겨울학기 현장실습 교과목 운영 안내,2023.10.23.,이소윤
94,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752606,2023학년도 겨울 계절학기 제주대학교 수학 안내,2023.10.20.,백민기
95,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752592,2023학년도 겨울 계절학기 강원대학교 수학 안내,2023.10.19.,백민기
96,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753259,공지2024학년도 1학기 전과(전공변경) 추가 납부 안내,2023.12.06.,신상훈
97,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753252,공지2023학년도 겨울계절학기 수강료 납부 기간 연장 안내,2023.12.05.,김민지
98,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753250,공지2024-1학기 학사·석박사통합 연계과정 신청,2023.12.05.,장연수
99,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753237,공지2024학년도 1학기 학석사연계과정 모집 안내,2023.12.04.,장연수
100,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753234,공지2024학년도 캠퍼스 이동(전과 제도) 전형일정 안내,2023.12.04.,신상훈
101,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753229,공지2024학년도 1학기 전과(전공변경) 전형료 납부 안내,2023.12.04.,신상훈
102,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752580,2023학년도 2학기 전공결정 시행 안내,2023.10.18.,신상훈
103,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752499,[창업진흥센터]  3D스케치로 창업 아이디어 그려보기 모집 안내(~2023.10.20.(금) 13시까지),2023.10.16.,김수민
104,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752461,2024학년도 1학기 학기제현장실습(IPP/일학습병행) 참여 학생 모집 설명회 개최,2023.10.13.,박소원
105,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752449,2023학년도 겨울 계절학기 서울대학교 수학 안내,2023.10.13.,백민기
106,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752443,2023학년도 겨울 계절학기 충북대학교 수학 안내,2023.10.12.,백민기
107,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752401,10월 12일 모의토익 고사장 및 성적 확인 방법 안내,2023.10.11.,박수빈
108,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752375,2023학년도 2학기 성인지 교육 시행 안내,2023.10.10.,김주성
109,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752203,제 10회 EAS 영어 글쓰기(Writing) 경진대회 시행 안내,2023.09.25.,박은미
110,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752188,2024학년도 봄 조기졸업 신청 안내,2023.09.22.,신상훈
111,https://www.dongguk.edu/article/HAKSANOTICE/detail/26752186,2023학년도 2학기 복수·연계·융합전공 포기 신청 안내,2023.09.22.,신상훈
112,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753259,공지2024학년도 1학기 전과(전공변경) 추가 납부 안내,2023.12.06.,신상훈
113,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753252,공지2023학년도 겨울계절학기 수강료 납부 기간 연장 안내,2023.12.05.,김민지
114,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753250,공지2024-1학기 학사·석박사통합 연계과정 신청,2023.12.05.,장연수
115,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753237,공지2024학년도 1학기 학석사연계과정 모집 안내,2023.12.04.,장연수
116,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753234,공지2024학년도 캠퍼스 이동(전과 제도) 전형일정 안내,2023.12.04.,신상훈
117,https://www.dongguk.edu/article/HAKSANOTICE/detail/26753229,공지2024학년도 1학기 전과(전공변경) 전형료 납부 안내,2023.12.04.,신상훈
