url,title,created_at,administrator,type
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752175,[교수학습혁신센터] 2023 BEST 프로그램 참여자 추가 모집,2023-09-21,나윤주,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752172,[교과연계 협력학습] DoDream 학습동아리 최종 선정 팀 발표,2023-09-21,나윤주,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752169,동국가족 한마음 테니스 페스타 참가 신청 안내,2023-09-21,허선이,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752146,[전공교과연계 협력학습] 동국 튜터링 튜티 모집,2023-09-19,나윤주,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752131,[전공교과연계 협력학습] 동국 튜터링 최종 선정 튜터 발표,2023-09-18,나윤주,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752123,"[고시반] 2023년도 5급(행정,기술),외교관후보자전형 2차 시험 합격자 조사 안내",2023-09-18,최지윤,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752107,"[창업진흥센터] [소싱디렉팅] E²GEE Lab D&M(디자인&제조) 컨설팅 참가자 모집(~9/24, 이메일접수)",2023-09-15,김주영,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752101,중소기업기술정보진흥원 온라인 브레인스토밍 플랫폼 「JAMMING」 홍보,2023-09-15,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752081,[경제학과] 지인엽 교수 연구실 연구조교 모집 공고,2023-09-14,김가원,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752079,MLP 기반 Microsoft 자격증 취득 과정 참가 학생 모집 (~9/21),2023-09-14,최정문,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752074,[창업진흥센터-메이커스페이스] 2023 E²GEE Lab(이지랩) 메이커톤 참가자 모집,2023-09-14,박지혜,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752061,"[교수학습혁신센터] 2023-2 교, 강사 및 직원을 위한 교수법 워크숍 신청 안내",2023-09-13,문정윤,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752038,"[카운슬링센터] 온라인 심리검사 프로그램 참여 안내 : '나의 대학생활과 학습습관, 어떨까?'",2023-09-12,이시은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752032,[카운슬링센터] 유피어스(또래상담) 멘토 추가모집합니다.,2023-09-12,이재명,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752031,[취업팀]2023 JOB&CAREER FESTIVAL 취업박람회 참여 학생에 대한 유고결석 처리 안내,2023-09-12,신지윤,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752018,[창업교육센터] 2023 창업동아리 3차 모집 공고(~9.15(금) 17시까지),2023-09-11,공효은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752015,[국제교류] 2024-1학기 일본 Outbound 교환학생 선발 공고,2023-09-11,정재훈,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752014,2023 배워서 남주자 페스티벌 행사 자원봉사자 모집,2023-09-11,정미래,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752011,[T-Table] 9월 T-Table 특강 안내,2023-09-11,최정문,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752010,"[T-Table] 'The next generation, 6G 프레임워크' 특강 안내",2023-09-11,최정문,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752006,[창업교육센터] 9/21(목) 2023 스타트업 아뜰리에(창업동아리 홍보부스+이벤트),2023-09-11,공효은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752005,[창업진흥센터] 2023 D-Corps 프로그램 모집 안내,2023-09-11,민관석,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26752001,★취업박람회 후기남기고 커피쿠폰 받자!!!★,2023-09-11,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751995,(예비군연대) 2023년 후반기 학생 예비군 교육훈련 재안내,2023-09-08,김태영,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751989,삼성그룹 「기회균등 특별채용」 ~09.13(수) 10:00,2023-09-08,신지윤,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751988,2023학년도 2학기 학생증 신규발급 일시 중단 안내(9/8 ~ 10/10),2023-09-08,임가영,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751985,2023 동국대 학습 콘텐츠 공모전,2023-09-08,나윤주,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751982,⚾ JTBC 최강야구 동국대학교 야구부 편 방송 ⚾,2023-09-07,이욱호,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751964,『2023년 제14회 대원불교문화상』 공모,2023-09-07,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751963,2023년 전국 대학생 정책아이디어 PT대회,2023-09-07,조재휘,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751961,[T-Table] 난양공과대학 교수 초청 특강 안내,2023-09-07,최정문,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751960,2023 KSP 성과공유컨퍼런스,2023-09-07,조재휘,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751919,「2023 서울 지능형 사물인터넷(AIoT) 해커톤 대회」개최안내 및 홍보,2023-09-06,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751918,2023년 바이오헬스산업 일자리 아카데미 교육생 모집 홍보,2023-09-06,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751917,제15회 한국고전종합DB 활용 공모전 안내,2023-09-06,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751916,2023 서울시 인공지능(AI) 아이디어 공모전 홍보,2023-09-06,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751914,[재학생 설문조사 참여] 대입 환경 변화를 반영한 전형요소 개선 연구,2023-09-05,이상권,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751894,[2학기 1:1 개별 진로상담  신청]_학생역량개발팀,2023-09-04,신윤정,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751893,[2학기 GROW코칭 참여자 모집 안내]_ 3학년 지원자 신청가능_ 학생역량개발팀,2023-09-04,신윤정,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751891,[T-Table] SK하이닉스 현직자 강연에 참여해보자!,2023-09-04,최정문,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751888,[정보처] 엣지(Edge)브라우저에서 포탈사이트 인증서로그인 버튼이 안보이는 현상 조치안내,2023-09-04,정종현,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751887,"[카운슬링센터] 온라인 심리검사 프로그램 참여 안내 : '나의 대학생활과 학습습관, 어떨까?'",2023-09-04,이시은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751881,DGU-WIFI 무선네트워크 개선 사업 완료 안내,2023-09-04,허선이,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751862,[2023 JOB&CAREER FESTIVAL] 동국인과 함께하는 명사초청특강,2023-08-31,신지윤,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751860,[5대 핵심역량 함양 프로그램]  니체의 초인이란 누구인가? - 서울대 철학과 박찬국 교수 특강,2023-08-31,이보리,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751854,제10기 과학기술전문사관 후보생 모집·선발 공고,2023-08-31,신영은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751844,[창업교육센터] 2023 창업동아리 3차 모집 공고(~9.15(금) 17시까지),2023-08-31,공효은,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751841,한눈에 보는 2023 JOB & CAREER FESTIVAL 일정표,2023-08-31,이욱호,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751833,[5대 핵심역량 함양프로그램] 동문 특강: EBS 최정균 PD의 <귀하신 대학생활> 보내기,2023-08-30,이보리,일반
https://www.dongguk.edu/article/GENERALNOTICES/detail/26751822,(예비군연대) 2023년 9월 각 군 현역병  모집계획 안내,2023-08-30,김태영,일반
