course_id,days,start_time,end_time,classroom
36,목,14:30,16:30,308-325(과학관  일반물리학실험실A)
36,금,12:00,13:30,401-5147(신공학관(기숙사) 5147 강의실)
37,월,10:30,12:00,407-B101(정보문화관P P201 강의실)
37,월,12:00,14:00,308-407(과학관  일반화학실험실A)
37,화,10:30,12:00,407-B101(정보문화관P P201 강의실)
38,월,10:00,12:00,308-407(과학관  일반화학실험실A)
38,월,12:00,13:30,501-231(학림관 J201 강의실)
38,수,11:00,12:30,501-231(학림관 J201 강의실)
39,화,12:00,13:30,407-203(정보문화관P P401 강의실_스마트)
39,화,13:30,15:30,308-407(과학관  일반화학실험실A)
39,목,12:00,13:30,407-203(정보문화관P P401 강의실_스마트)
40,월,16:00,18:00,308-407(과학관  일반화학실험실A)
40,월,18:00,20:30,407-B122(정보문화관P P205 강의실)
41,화,13:30,15:00,407-203(정보문화관P P401 강의실_스마트)
41,목,13:30,15:00,407-203(정보문화관P P401 강의실_스마트)
41,목,15:00,17:00,308-407(과학관  일반화학실험실A)
42,수,14:00,17:00,1104-845(상영바이오관 845 세미나실1(고양캠퍼스))
42,금,14:00,16:00,1104-266(상영바이오관 266 학부 공용실습실)
43,수,12:30,14:00,207-324(혜화관 324 324 강의실)
43,금,10:00,12:00,308-407(과학관  일반화학실험실A)
43,금,12:00,13:30,207-324(혜화관 324 324 강의실)
44,화,16:00,18:00,401-2158(신공학관(기숙사) 2158 일반생물학실험실)
44,금,14:00,16:00,201-111(사회과학/경영관 M111 강의실)
45,월,18:00,19:40,407-B127(정보문화관P P207 강의실)
45,월,19:40,21:30,401-2158(신공학관(기숙사) 2158 일반생물학실험실)
46,화,09:00,11:00,202-364(사회과학/경영관 L311 강의실)
46,목,14:30,16:30,401-2158(신공학관(기숙사) 2158 일반생물학실험실)
47,화,14:00,16:00,407-B108(정보문화관P P203 강의실)
47,수,14:00,16:00,102-211(학술/문화관 K211 (K) 공용컴퓨터실)
48,화,09:00,10:30,1104-845(상영바이오관 845 세미나실1(고양캠퍼스))
48,수,14:00,16:00,1104-266(상영바이오관 266 학부 공용실습실)
48,목,09:00,10:30,1104-845(상영바이오관 845 세미나실1(고양캠퍼스))
49,화,10:30,12:00,1104-845(상영바이오관 845 세미나실1(고양캠퍼스))
49,수,16:00,18:00,1104-266(상영바이오관 266 학부 공용실습실)
49,목,10:30,12:00,1104-845(상영바이오관 845 세미나실1(고양캠퍼스))
50,화,10:30,12:00,1102-132(종합강의동 132 세미나실1)
