url,title,date,administrator
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752461,공지2024학년도 1학기 학기제현장실습(IPP/일학습병행) 참여 학생 모집 설명회 개최,2023.10.13.,박소원
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752375,공지2023학년도 2학기 성인지 교육 시행 안내,2023.10.10.,김주성
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752188,공지2024학년도 봄 조기졸업 신청 안내,2023.09.22.,신상훈
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752186,공지2023학년도 2학기 복수·연계·융합전공 포기 신청 안내,2023.09.22.,신상훈
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752179,공지2023학년도 2학기 교직복수(연계)전공 포기 신청 안내,2023.09.22.,박소정
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752159,공지2023-2학기 응급처치 및 심폐소생술 실습 안내,2023.09.20.,김주성
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752461,2024학년도 1학기 학기제현장실습(IPP/일학습병행) 참여 학생 모집 설명회 개최,2023.10.13.,박소원
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752449,2023학년도 겨울 계절학기 서울대학교 수학 안내,2023.10.13.,백민기
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752443,2023학년도 겨울 계절학기 충북대학교 수학 안내,2023.10.12.,백민기
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752401,10월 12일 모의토익 고사장 및 성적 확인 방법 안내,2023.10.11.,박수빈
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752375,2023학년도 2학기 성인지 교육 시행 안내,2023.10.10.,김주성
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752203,제 10회 EAS 영어 글쓰기(Writing) 경진대회 시행 안내,2023.09.25.,박은미
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752188,2024학년도 봄 조기졸업 신청 안내,2023.09.22.,신상훈
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752186,2023학년도 2학기 복수·연계·융합전공 포기 신청 안내,2023.09.22.,신상훈
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752179,2023학년도 2학기 교직복수(연계)전공 포기 신청 안내,2023.09.22.,박소정
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752159,2023-2학기 응급처치 및 심폐소생술 실습 안내,2023.09.20.,김주성
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752461,공지2024학년도 1학기 학기제현장실습(IPP/일학습병행) 참여 학생 모집 설명회 개최,2023.10.13.,박소원
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752375,공지2023학년도 2학기 성인지 교육 시행 안내,2023.10.10.,김주성
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752188,공지2024학년도 봄 조기졸업 신청 안내,2023.09.22.,신상훈
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752186,공지2023학년도 2학기 복수·연계·융합전공 포기 신청 안내,2023.09.22.,신상훈
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752179,공지2023학년도 2학기 교직복수(연계)전공 포기 신청 안내,2023.09.22.,박소정
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752159,공지2023-2학기 응급처치 및 심폐소생술 실습 안내,2023.09.20.,김주성
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752147,2024학년도 1학기 학교현장실습Ⅲ(종합실습) 이수 방법 안내,2023.09.19.,박소정
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752116,2023학년도 2학기 교육봉사활동 안내,2023.09.15.,김주성
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752054,2023학년도 제2학기 교양영어 레벨 변경 / 이수 면제 신청 안내,2023.09.12.,박수빈
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752036,2023학년도 2학기 학부 외국어패스제 대체 인정 안내,2023.09.12.,박수빈
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752029,9월 13일 모의토익 고사장 및 성적 확인 방법 안내,2023.09.12.,박수빈
https://www.dongguk.edu/article/HAKSANOTICE/detail/26751932,2023학년도 2학기 교직 적성 및 인성 검사 실시 안내,2023.09.06.,김주성
https://www.dongguk.edu/article/HAKSANOTICE/detail/26751915,2023학년도 2학기 수강정정(대상교과: 교직실무) 안내문,2023.09.06.,박소정
https://www.dongguk.edu/article/HAKSANOTICE/detail/26751874,2023-2 「도반8기」 오리엔테이션 자료 및 제출 자료 안내,2023.09.01.,박소정
https://www.dongguk.edu/article/HAKSANOTICE/detail/26751873,2023-2 학교현장실습 오리엔테이션 자료 안내,2023.09.01.,박소정
https://www.dongguk.edu/article/HAKSANOTICE/detail/26751863,2023학년도 하반기 학부 외국어패스 성적 제출 안내,2023.08.31.,박수빈
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752461,공지2024학년도 1학기 학기제현장실습(IPP/일학습병행) 참여 학생 모집 설명회 개최,2023.10.13.,박소원
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752375,공지2023학년도 2학기 성인지 교육 시행 안내,2023.10.10.,김주성
https://www.dongguk.edu/article/HAKSANOTICE/detail/26752188,공지2024학년도 봄 조기졸업 신청 안내,2023.09.22.,신상훈
